Date,BoosterVersion,LaunchSite,Payload,PayloadMass_kg,Orbit,Outcome
"August 28, 2025",F9 B5B1067‐30,"Kennedy, LC‐39A",Starlink: Group 10-11,16100.0,LEO,Success
"August 30, 2025",F9 B5B1082‐15,"Vandenberg, SLC‐4E",Starlink: Group 17-7,17500.0,SSO,Success
"August 31, 2025",F9 B5B1077‐23,"Cape Canaveral, SLC‐40",Starlink: Group 10-14,16100.0,LEO,Success
"September 3, 2025",F9 B5B1097‐1,"Vandenberg, SLC‐4E",Starlink: Group 17-8,17500.0,SSO,Success
"September 3, 2025",F9 B5B1083‐14,"Cape Canaveral, SLC‐40",Starlink: Group 10-22,16100.0,LEO,Success
"September 5, 2025",F9 B5B1069‐27,"Kennedy, LC‐39A",Starlink: Group 10-57,16100.0,LEO,Success
"September 6, 2025",F9 B5B1075‐20,"Vandenberg, SLC‐4E",Starlink: Group 17-9,17500.0,SSO,Success
"September 10, 2025",F9 B5B1093‐6,"Vandenberg, SLC‐4E",SDA Tranche 1 Transport Layer B (21 satellites),,Polar LEO,Success
"September 12, 2025",F9 B5B1078‐23,"Cape Canaveral, SLC‐40",Nusantara Lima,7800.0,GTO,Success
"September 13, 2025",F9 B5B1071‐28,"Vandenberg, SLC‐4E",Starlink: Group 17-10,17500.0,SSO,Success
"September 14, 2025",F9 B5B1094‐4,"Cape Canaveral, SLC‐40","CRS NG-23 (S.S. William ""Willie"" C. McCool)",5000.0,LEO (ISS),Success
"September 18, 2025",F9 B5B1092‐7,"Cape Canaveral, SLC‐40",Starlink: Group 10-61,16100.0,LEO,Success
"September 19, 2025",F9 B5B1088‐10,"Vandenberg, SLC‐4E",Starlink: Group 17-12,17500.0,SSO,Success
"September 21, 2025",F9 B5B1085‐11,"Cape Canaveral, SLC‐40",Starlink: Group 10-27,16100.0,LEO,Success
"September 22, 2025",F9 B5B1081‐18,"Vandenberg, SLC‐4E",NROL-48 (~11 Starshield satellites),,LEO,Success
"September 24, 2025",F9 B5B1096‐2,"Kennedy, LC‐39A",Interstellar Mapping and Acceleration Probe (IMAP),1477.0,Sun–Earth L1,Success
"September 25, 2025",F9 B5B1080‐22,"Cape Canaveral, SLC‐40",Starlink: Group 10-15,16100.0,LEO,Success
"September 26, 2025",F9 B5B1082‐16,"Vandenberg, SLC‐4E",Starlink: Group 17-11,17500.0,SSO,Success
"September 29, 2025",F9 B5B1063‐28,"Vandenberg, SLC‐4E",Starlink: Group 11-20,16100.0,LEO,Success
"October 3, 2025",F9 B5B1097‐2,"Vandenberg, SLC‐4E",Starlink: Group 11-39,16100.0,LEO,Success
"October 7, 2025",F9 B5B1090‐8,"Cape Canaveral, SLC‐40",Starlink: Group 10-59,16100.0,LEO,Success
"October 8, 2025",F9 B5B1071‐29,"Vandenberg, SLC‐4E",Starlink: Group 11-17,16100.0,LEO,Success
"October 14, 2025",F9 B5B1091‐2,"Cape Canaveral, SLC‐40",KuiperSat × 24 (KF-03),14784.0,LEO,Success
"October 15, 2025",F9 B5B1093‐7,"Vandenberg, SLC‐4E",SDA Tranche 1 Transport Layer C (21 satellites),,Polar LEO,Success
"October 16, 2025",F9 B5B1095‐3,"Cape Canaveral, SLC‐40",Starlink: Group 10-52,16100.0,LEO,Success
"October 19, 2025",F9 B5B1067‐31,"Cape Canaveral, SLC‐40",Starlink: Group 10-17,16100.0,LEO,Success
"October 19, 2025",F9 B5B1088‐11,"Vandenberg, SLC‐4E",Starlink: Group 11-19,16100.0,LEO,Success
"October 22, 2025",F9 B5B1075‐21,"Vandenberg, SLC‐4E",Starlink: Group 11-5,16100.0,LEO,Success
"October 24, 2025",F9 B5B1076‐22,"Cape Canaveral, SLC‐40",Spainsat NG II,6100.0,GTO,Success
"October 25, 2025",F9 B5B1081‐19,"Vandenberg, SLC‐4E",Starlink: Group 11-12,16100.0,LEO,Success
"October 26, 2025",F9 B5B1077‐24,"Cape Canaveral, SLC‐40",Starlink: Group 10-21,16100.0,LEO,Success
"October 28, 2025",F9 B5B1082‐17,"Vandenberg, SLC‐4E",Starlink: Group 11-21,16100.0,LEO,Success
"October 29, 2025",F9 B5B1083‐15,"Cape Canaveral, SLC‐40",Starlink: Group 10-37,16675.0,LEO,Success
"October 31, 2025",F9 B5B1063‐29,"Vandenberg, SLC‐4E",Starlink: Group 11-23,16100.0,LEO,Success
"November 2, 2025",F9 B5B1091‐3,"Cape Canaveral, SLC‐40",Bandwagon-4 (18 payloads smallsat rideshare),,LEO,Success
